"Rank", "Title", "Release", "Distributor", "Genre", "MPAA", "Gross", "Tickets", "Adjusted Gross"
617,"Elektra Luxx","3/11/2011","Samuel Goldwyn Films","Comedy","R",  11514,  1446,  11409
618,"Peep World","3/25/2011","IFC Films","Comedy","R",  11238,  1412,  11141
619,"Partir","10/1/2010","IFC Films","Drama","?",  10977,  1379,  10880
620,"Sarah Palin: You Betcha!","9/30/2011","Freestyle Releasing","Documentary","?",  10935,  1374,  10841
621,"Matrimonio all'italiana","9/23/2011","Kino Classics","Comedy","?",  10600,  1332,  10509
622,"The Cremaster Cycle","4/9/2010","International Film Circuit","Drama","?",  10573,  1328,  10478
623,"London Boulevard","11/11/2011","IFC Films","Drama","R",  10484,  1317,  10391
624,"Zero Bridge","2/16/2011","The Film Desk","Drama","?",  10357,  1301,  10265
625,"A Bird of the Air","9/23/2011","Paladin","Romantic Comedy","?",  10152,  1275,  10060
626,"Carlos","10/15/2010","IFC Films","Drama","?",  10000,  1256,  9910
627,"Un homme qui crie","4/13/2011","Film Movement","Drama","?",  9862,  1239,  9776
628,"Cook County","12/16/2011","Hannover House","Drama","?",  9727,  1222,  9642
629,"Die Frau mit den 5 Elefanten","7/20/2011","Cinema Guild","Documentary","?",  9256,  1163,  9176
630,"Vito Bonafacci","5/6/2011","CAVU Releasing","Drama","?",  9217,  1158,  9137
631,"Another Happy Day","11/18/2011","Phase 4 Films","Drama","R",  9120,  1146,  9042
632,"Shanghai Red","1/1/2010","Indican Pictures","Thriller/Suspense","?",  8904,  1119,  8829
633,"Sans queue ni tete","8/26/2011","First Run Features","Drama","?",  8856,  1113,  8782
634,"Kak ya provyol etim letom","2/4/2011","Film Movement","Drama","?",  8733,  1097,  8655
635,"Je suis heureux que ma mere soit vivante","9/2/2011","Strand","Drama","?",  8705,  1094,  8632
636,"Korkoro","3/25/2011","Lorber Films","Drama","?",  8242,  1035,  8166
